,,,,,,,,PNPLA5,
,,,,,,,,POM121L12,
,,,,,,,,POTEA,
,,,,,,,,POTED,
,,,,,,,,POTEG,
,,,,,,,,POTEH,
,,,,,,,,POU3F4,
,,,,,,,,POU4F2,
,,,,,,,,POU4F3,
,,,,,,,,POU5F2,
,,,,,,,,PPP3R2,
,,,,,,,,PRAMEF1,
,,,,,,,,PRAMEF19,
,,,,,,,,PRAMEF2,
,,,,,,,,PRAMEF3,
,,,,,,,,PRAMEF4,
,,,,,,,,PRAMEF7,
,,,,,,,,PRB1,
,,,,,,,,PRB4,
,,,,,,,,PRDM13,
,,,,,,,,PRDM14,
,,,,,,,,PRDM7,
,,,,,,,,PRDM9,
,,,,,,,,PRG3,
,,,,,,,,PRLH,
,,,,,,,,PRLHR,
,,,,,,,,PROP1,
,,,,,,,,PRSS33,
,,,,,,,,PRSS37,
,,,,,,,,PRSS38,
,,,,,,,,PRSS41,
,,,,,,,,PRSS55,
,,,,,,,,PRSS58,
,,,,,,,,PRY2,
,,,,,,,,PSKH2,
,,,,,,,,PTF1A,
,,,,,,,,RAX,
,,,,,,,,RAX2,
,,,,,,,,RBM46,
,,,,,,,,RBMXL2,
,,,,,,,,RBMY1A1,
,,,,,,,,RBMY1B,
,,,,,,,,RBMY1D,
,,,,,,,,RBMY1E,
,,,,,,,,RBMY1F,
,,,,,,,,RBMY1J,
,,,,,,,,RBP3,
,,,,,,,,RBPJL,
,,,,,,,,RD3,
,,,,,,,,RDH8,
,,,,,,,,REG3A,
,,,,,,,,RESP18,
,,,,,,,,RETNLB,
,,,,,,,,REXO1L1,
,,,,,,,,RFPL3,
,,,,,,,,RFPL4B,
,,,,,,,,RFX6,
,,,,,,,,RHO,
,,,,,,,,RHOXF2,
,,,,,,,,RNASE10,
,,,,,,,,RNASE11,
,,,,,,,,RNASE12,
,,,,,,,,RNASE13,
,,,,,,,,RNASE8,
,,,,,,,,RNASE9,
,,,,,,,,RND2,
,,,,,,,,RNF113B,
,,,,,,,,RNF17,
,,,,,,,,RP1,
,,,,,,,,RP1L1,
,,,,,,,,RPE65,
,,,,,,,,RPTN,
,,,,,,,,RS1,
,,,,,,,,RTP1,
,,,,,,,,RTP2,
,,,,,,,,RXFP2,
,,,,,,,,RXFP3,
,,,,,,,,S100A7A,
,,,,,,,,S100G,
,,,,,,,,SAGE1,
,,,,,,,,SAMD7,
,,,,,,,,SCGB1D1,
,,,,,,,,SCN10A,
,,,,,,,,SCRT2,
,,,,,,,,SDR9C7,
,,,,,,,,SEC14L3,
,,,,,,,,SEMG2,
,,,,,,,,14-Sep,
,,,,,,,,SERPINA12,
,,,,,,,,SERPINA7,
,,,,,,,,SERPINA9,
,,,,,,,,SERPINB12,
,,,,,,,,SHCBP1L,
,,,,,,,,SHOX,
,,,,,,,,SI,
,,,,,,,,SIGLECL1,
,,,,,,,,SIX6,
,,,,,,,,SLC10A2,
,,,,,,,,SLC13A1,
,,,,,,,,SLC17A2,
,,,,,,,,SLC17A6,
,,,,,,,,SLC18A3,
,,,,,,,,SLC22A12,
,,,,,,,,SLC22A13,
,,,,,,,,SLC22A24,
,,,,,,,,SLC22A25,
,,,,,,,,SLC22A6,
,,,,,,,,SLC22A8,
,,,,,,,,SLC22A9,
,,,,,,,,SLC25A2,
,,,,,,,,SLC25A31,
,,,,,,,,SLC2A2,
